,catalog_number,right_ascension,declination,spectral_type_a,spectral_type_b,v_magnitude,ascension_proper_motion,declination_proper_motion
0,1.0,0.022536563966376783,0.7893978762666023,b'A',b'1',6.7,-5.817764048288154e-08,-8.726646427703599e-08
1,2.0,0.02209295944816156,-0.0087799757648937,b'G',b'9',6.29,2.1816615003444895e-07,-2.9088820951983507e-07
2,3.0,0.023278328898474376,-0.09961466705757638,b'K',b'0',4.61,-4.3633232138517997e-08,4.3148418171767844e-07
3,4.0,0.024870941840919203,0.23380624585188486,b'G',b'5',5.51,2.1816615003444895e-07,-5.817764048288154e-08
4,5.0,0.02734349161457783,1.019912237223753,b'G',b'5',5.96,1.2750599580613198e-06,1.4544410475991754e-07
5,6.0,0.027561657771077126,-0.8565203304162174,b'G',b'1',5.7,2.7391972707846435e-06,-1.8422919367822033e-07
6,7.0,0.028107073162325354,1.1204335058650043,b'B',b'9',5.59,3.878509602373015e-08,0.0
7,8.0,0.02885611029963959,0.50651878961281,b'K',b'0',6.13,1.8422920220473316e-06,-8.823608936836536e-07
8,9.0,0.02982331359345311,-0.4033019569045898,b'A',b'7',6.18,4.84813654111349e-07,-2.1816615003444895e-07
9,10.0,0.031866803259329814,-0.3034497311432698,b'A',b'6',6.19,-8.726646427703599e-08,1.7453292855407199e-07
10,11.0,0.03375030441044036,-0.04448650337861101,b'B',b'8',6.43,1.308996928628403e-07,-9.696274005932537e-09
11,12.0,0.03394665395128972,-0.3928542220766793,b'A',b'2',5.94,2.521031206015323e-07,-2.1331801747237478e-07
12,13.0,0.03516111222246911,-0.5851992019200769,b'K',b'1',5.68,-1.7938106111614616e-07,0.0
13,14.0,0.03578652187110041,-0.04272178157937231,b'K',b'2',6.07,4.3633232138517997e-08,-1.4544410120720386e-08
14,15.0,0.03660100885536443,0.5077259756787729,b'B',b'8',2.06,6.593465968762757e-07,-7.902463039499708e-07
15,16.0,0.03617194874758249,-0.1540059139412552,b'G',b'8',5.99,-2.521031206015323e-07,-1.5998851665699476e-07
16,17.0,0.03788818917871025,0.6392559273637898,b'F',b'8',6.19,-4.84813654111349e-07,-7.029798325675074e-07
17,18.0,0.03733550158224537,-0.3067852492693034,b'M',b'0',6.06,0.0,-1.2120341352783726e-07
18,19.0,0.03870267616297427,0.44440930892586733,b'K',b'0',6.23,5.526875952455157e-07,1.502922373219917e-07
19,20.0,0.0407388936236343,1.3912843650904694,b'A',b'7',6.01,4.945099476572068e-07,-1.308996928628403e-07
20,21.0,0.040048034128053224,1.0323574044178347,b'F',b'2',2.27,2.545271854614839e-06,-8.775127753324341e-07
21,22.0,0.039444441095071864,0.3178583937458452,b'G',b'9',5.53,6.641947152274952e-07,-1.1635528096576309e-07
22,23.0,0.039444441095071864,-0.9425117330346159,b'G',b'4',6.33,2.472549738286034e-07,7.75701920474603e-08
23,24.0,0.04079707126536747,-0.4884788725387242,b'F',b'2',5.42,3.4906585710814397e-07,-1.9392548011865074e-08
24,25.0,0.041066142858383246,-0.7984444995561059,b'K',b'0',3.88,6.011689492879668e-07,-8.775127753324341e-07
25,26.0,0.043800492019841035,0.1945266414083903,b'B',b'9',5.51,1.9877360557529755e-07,-1.4544410120720386e-08
26,27.0,0.04503676690667036,0.8041119714882767,b'F',b'2',5.03,3.878509602373015e-08,0.0
27,28.0,0.04579307624920123,0.997727163176181,b'B',b'7',6.74,1.1150714840368892e-07,2.908882024144077e-08
28,29.0,0.045000405880587145,-0.0916055450456468,b'K',b'1',5.84,1.7453292855407199e-07,-1.5998851665699476e-07
29,30.0,0.04378594760940775,-1.4350775849050932,b'G',b'8',5.28,-1.4059597219784337e-07,-9.696273650661169e-08
30,31.0,0.04674573513258148,-0.21956241990088668,b'K',b'0',5.85,7.272205380104424e-07,-1.8422919367822033e-07
31,32.0,0.04644030251348247,-1.2780076484992253,b'F',b'2',6.64,5.963208309367474e-07,7.75701920474603e-08
32,33.0,0.0491528350592903,-0.26996849832584513,b'F',b'7',4.89,-3.7330653412936954e-07,-1.2993007203476736e-06
33,34.0,0.050498193024369274,-0.4851966839176126,b'K',b'5',5.41,4.8481368253305845e-08,7.75701920474603e-08
34,35.0,0.051196324725167004,-0.6131874957305301,b'F',b'4',5.25,8.387276579924219e-07,5.769283006884507e-07
35,36.0,0.0522944277128801,0.8404196680665699,b'K',b'4',6.16,2.8119194439568673e-07,8.241832460953447e-08
36,37.0,0.053087098081494206,-0.3130829789869161,b'K',b'5',5.25,2.7149565084982896e-07,-1.502922373219917e-07
37,38.0,0.056025068989017976,0.6578727727183957,b'B',b'2',6.73,1.3574782542491448e-07,-5.817764048288154e-08
38,39.0,0.057755853830579046,0.26500400623128345,b'B',b'2',2.83,1.4544410120720386e-08,-5.817764048288154e-08
39,40.0,0.058468529941810066,0.4710158837451587,b'G',b'0',6.3,-3.878509602373015e-08,-2.27862429369452e-07
40,41.0,0.05896303989654178,0.7162007066926847,b'F',b'0',5.72,-5.963208309367474e-07,-7.175242444645846e-07
41,42.0,0.05978479908602244,-0.45416860832660233,b'K',b'5',5.94,1.2605156030076614e-07,-3.3452144521106675e-07
42,43.0,0.05993751539557196,-0.45875494574989856,b'K',b'5',6.31,-9.696273650661169e-08,5.817764048288154e-08
43,44.0,0.06125378453978435,0.5795559706719616,b'A',b'1',6.25,-2.908882024144077e-08,-8.726646427703599e-08
44,45.0,0.06371906210822634,0.35267286418632104,b'M',b'2',4.8,4.508767119659751e-07,0.0
45,46.0,0.06309365245959506,-0.13579631207878104,b'M',b'3',5.12,2.860400627469062e-07,1.9392548011865074e-08
46,47.0,0.058134008501844484,-1.4834280533221478,b'M',b'0',5.77,1.9392548011865074e-08,3.878509602373015e-08
47,48.0,0.06387905062299248,-0.3304393087706377,b'M',b'3',4.44,-1.1635528096576309e-07,-3.248251800869184e-07
48,49.0,0.0651662309463383,0.3889320793965032,b'A',b'1',6.24,3.1512888654106064e-07,-5.3329504368093694e-08
